Condition,Item,type,Sentence,Predicate
a,45,filler,Daniel packed and jammed the ,filler
a,40,filler,The analyst confessed that the sharp-witted mathematician deliberately entrusted,filler
c,9,exp,How unhappy with her over the accident was the,unhappy
b,4,exp,How delighted with himself about the arrest did the,delighted
a,25,filler,Haley splashed and splattered the canvas artistically with,filler
a,11,exp,How unhappy with her over the incident did the,unhappy
a,46,filler,Did the experienced photographer impress himself by selling,filler
a,41,filler,Elizabeth recalled how pleased with herself the warm-hearted nanny had been,filler
b,24,exp,How annoyed with herself over the debate did the,annoyed
d,10,exp,How delighted with herself over the nomination was the,delighted
a,7,exp,How impressed with her about the publicity did the,impressed
c,5,exp,How happy with him about the outcome was the,happy
a,37,filler,What picture did John's great-grandchild show to ,filler
b,16,exp,How frustrated with himself over the mistake did the,frustrated
a,47,filler,There was a claim about herself which the businesswoman suspected that Judith,filler
a,28,filler,There was an allegation about himself that the waiter had expected him that,filler
a,29,filler,The probability that the unethical scientist uncovered the,filler
d,2,exp,How mad at himself about the party was the,mad
a,39,filler,The baker mentioned why the fashionable mother that the girl,filler
a,31,filler,The adventurous secretary who amazed Susana had,filler
d,14,exp,How confident in himself about the decision was the,confident
c,17,exp,How sure of him about the report was the,sure
a,23,exp,How frustrated with her about the performance did the,frustrated
a,26,filler,Eric coated and slathered the birthday cake lavishly with,coated
d,22,exp,How mad at herself about the oversight was the,mad
b,12,exp,How pleased with herself about the award did the,pleased
a,27,filler,There was a statement about himself that the cameraman had attacked him that,filler
a,3,exp,How ashamed of him about the affair did the,ashamed
a,38,filler,There was a belief about herself which the craftswoman had,filler
b,20,exp,How upset with herself about the accident did the,upset
c,13,exp,How pleased with him about the results was the,pleased
a,48,filler,The insinuation that the supercilious,filler
a,32,filler,Dorothy worried about how frustrated with himself the bad-tempered,filler
c,1,exp,How upset with him about the mishap was the,upset
a,36,filler,Gregory crammed and stuffed the pillow casually with overflowing,crammed
b,8,exp,How ashamed of herself about the mistake did the,ashamed
d,18,exp,How upset with himself over the event was the,upset
a,35,filler,How proud of herself did Catherine think that,filler
a,19,exp,How happy with her about the review did the,happy
a,42,filler,The claim that the gentleman invented ,filler
c,21,exp,How worried about her during the move was the,worried
a,33,filler,Haley wondered how sure of himself the inexperienced substitute teacher,filler
d,6,exp,How pleased with himself about the guest list was the,exp
a,43,filler,The rapper considered whether the sketchy promoter that,filler
a,15,exp,How proud of him about the play did the,proud
a,34,filler,Melissa draped and covered the furniture carefully with protective,draped
a,30,filler,Alexis's great-grandchild sprinkled and peppered the field randomly with,filler
a,44,filler,The editor-in-chief of the prestigious,filler
