Condition,Item,type,Sentence,Predicate
a,45,filler,Daniel packed and jammed the ,filler
a,40,filler,The analyst confessed that the sharp-witted mathematician deliberately entrusted,filler
d,9,exp,How unhappy with herself over the accident was the,unhappy
c,4,exp,How delighted with him about the arrest was the,delighted
a,25,filler,Haley splashed and splattered the canvas artistically with,filler
b,11,exp,How unhappy with herself over the incident did the,unhappy
a,46,filler,Did the experienced photographer impress himself by selling,filler
a,41,filler,Elizabeth recalled how pleased with herself the warm-hearted nanny had been,filler
c,24,exp,How annoyed with her over the debate was the,annoyed
a,10,exp,How delighted with her over the nomination did the,delighted
b,7,exp,How impressed with herself about the publicity did the,impressed
d,5,exp,How happy with himself about the outcome was the,happy
a,37,filler,What picture did John's great-grandchild show to ,filler
c,16,exp,How frustrated with him over the mistake was the,frustrated
a,47,filler,There was a claim about herself which the businesswoman suspected that Judith,filler
a,28,filler,There was an allegation about himself that the waiter had expected him that,filler
a,29,filler,The probability that the unethical scientist uncovered the,filler
a,2,exp,How mad at him about the party did the,mad
a,39,filler,The baker mentioned why the fashionable mother that the girl,filler
a,31,filler,The adventurous secretary who amazed Susana had,filler
a,14,exp,How confident in him about the decision did the,confident
d,17,exp,How sure of himself about the report was the,sure
b,23,exp,How frustrated with herself about the performance did the,frustrated
a,26,filler,Eric coated and slathered the birthday cake lavishly with,filler
a,22,exp,How mad at her about the oversight did the,mad
c,12,exp,How pleased with her about the award was the,pleased
a,27,filler,There was a statement about himself that the cameraman had attacked him that,filler
b,3,exp,How ashamed of himself about the affair did the,ashamed
a,38,filler,There was a belief about herself which the craftswoman had,filler
c,20,exp,How upset with her about the accident was the,upset
d,13,exp,How pleased with himself about the results was the,pleased
a,48,filler,The insinuation that the supercilious,filler
a,32,filler,Dorothy worried about how frustrated with himself the bad-tempered,filler
d,1,exp,How upset with himself about the mishap was the,upset
a,36,filler,Gregory crammed and stuffed the pillow casually with overflowing,crammed
c,8,exp,How ashamed of her about the mistake was the,ashamed
a,18,exp,How upset with him over the event did the,upset
a,35,filler,How proud of herself did Catherine think that,filler
b,19,exp,How happy with herself about the review did the,happy
a,42,filler,The claim that the gentleman invented ,filler
d,21,exp,How worried about herself during the move was the,worried
a,33,filler,Haley wondered how sure of himself the inexperienced substitute teacher,filler
a,6,exp,How pleased with him about the guest list did the,exp
a,43,filler,The rapper considered whether the sketchy promoter that,filler
b,15,exp,How proud of himself about the play did the,proud
a,34,filler,Melissa draped and covered the furniture carefully with protective,draped
a,30,filler,Alexis's great-grandchild sprinkled and peppered the field randomly with,filler
a,44,filler,The editor-in-chief of the prestigious,filler
